    nstep  hftot_atm_z_1           hfkin_atm_z_1           hfkinex_atm_1_z_1       hfkinex_atm_2_z_1       hfkinex_atm_3_z_1       hfpotbo_atm_z_1         hfpotan_atm_z_1         hfpotto_atm_z_1         hfpot14_atm_z_1         hfpotelin_atm_z_1       hfpotljin_atm_z_1       hfpotelc_atm_z_1        hfpotlj_atm_z_1         hfpotmor_atm_z_1        hfpotsh_atm_z_1         hfpotrfh_atm_z_1        hfpotdou_atm_z_1        hfpotcstmnb_atm_z_1     hfviribo_atm_z_1        hfvirian_atm_z_1        hfvirito_atm_z_1        hfviri14_atm_z_1        hfvirielin_atm_z_1      hfviriljin_atm_z_1      hfvirielc_atm_z_1       hfvirilj_atm_z_1        hfvirimor_atm_z_1       hfvirish_atm_z_1        hfvirirfh_atm_z_1       hfviridou_atm_z_1       hfviricstmnb_atm_z_1    hfpotlj_ar11_z_1        hfpotlj_ar22_z_1        hfpotlj_ar12_z_1        hfvirilj_ar11_z_1       hfvirilj_ar22_z_1       hfvirilj_ar12_z_1       hfvirilj_ar1pt_z_1      hfvirilj_ar2pt_z_1     
         1         -0.26067074E+13          0.78398034E+11          0.00000000E+00          0.00000000E+00          0.78398034E+11          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.87993140E+09         -0.70275915E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.55683669E+09          0.43439229E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.70354753E+09          0.14671083E+09
       101         -0.87998475E+13          0.43632316E+12          0.00000000E+00          0.00000000E+00          0.43632316E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.69444022E+09         -0.15052792E+14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.16478377E+10          0.58189634E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.16222945E+10         -0.25543228E+08
       201         -0.16598863E+14          0.77487440E+12          0.00000000E+00          0.00000000E+00          0.77487440E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.93959090E+09         -0.18649442E+14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.24321776E+10          0.12790763E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.23881771E+10         -0.44000496E+08
       301         -0.21159127E+14          0.54139152E+12          0.00000000E+00          0.00000000E+00          0.54139152E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.94259820E+09         -0.17803986E+14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.15347062E+10         -0.38940557E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.15002047E+10         -0.34501519E+08
       401         -0.17944263E+14          0.29121524E+12          0.00000000E+00          0.00000000E+00          0.29121524E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.96944384E+09         -0.13041201E+14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.10759301E+10         -0.51922316E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.10317767E+10         -0.44153349E+08
       501         -0.10353593E+14          0.93756835E+11          0.00000000E+00          0.00000000E+00          0.93756835E+11          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.60635084E+09         -0.69686902E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.15209582E+09         -0.34779010E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.18243860E+09          0.30342778E+08
       601         -0.15233504E+13          0.23409533E+10          0.00000000E+00          0.00000000E+00          0.23409533E+10          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.55934221E+07         -0.70315255E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.32601168E+08         -0.82257701E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.45749266E+08         -0.13148098E+08
       701          0.72187207E+13         -0.81908846E+11          0.00000000E+00          0.00000000E+00         -0.81908846E+11          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.41397750E+09          0.51595477E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.35190687E+09          0.21403160E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.33939658E+09          0.12510294E+08
       801          0.13275811E+14         -0.18311361E+12          0.00000000E+00          0.00000000E+00         -0.18311361E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.64845234E+09          0.95157109E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.30735013E+09          0.39422581E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.30175896E+09          0.55911721E+07
       901          0.15796514E+14         -0.34962861E+12          0.00000000E+00          0.00000000E+00         -0.34962861E+12          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.79077881E+09          0.12475543E+14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.80513238E+09          0.36690034E+13          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.78273485E+09          0.22397527E+08
