    nstep             pressmol_tot           pressmol_ktot           pressmol_vtot            pressatm_tot           pressatm_ktot           pressatm_vtot           pot_viric_all          pot_virilj_all         pot_virimor_all          pot_virish_all         pot_virirfh_all         pot_viridou_all          pot_viricstmnb pot_viricstmnbex_1      pot_viricstmnbex_2      pot_viricstmnbex_3                 pot_viri_all              viri_fdotd          atm_viribo_all          atm_virian_all          atm_virito_all          atm_viri14_all          atm_viri_const           atm_viri_corr           premolt_tot11           premolt_tot12           premolt_tot13           premolt_tot21           premolt_tot22           premolt_tot23           premolt_tot31           premolt_tot32           premolt_tot33          premolt_ktot11          premolt_ktot12          premolt_ktot13          premolt_ktot21          premolt_ktot22          premolt_ktot23          premolt_ktot31          premolt_ktot32          premolt_ktot33          premolt_vtot11          premolt_vtot12          premolt_vtot13          premolt_vtot21          premolt_vtot22          premolt_vtot23          premolt_vtot31          premolt_vtot32          premolt_vtot33           preatmt_tot11           preatmt_tot12           preatmt_tot13           preatmt_tot21           preatmt_tot22           preatmt_tot23           preatmt_tot31           preatmt_tot32           preatmt_tot33          preatmt_ktot11          preatmt_ktot12          preatmt_ktot13          preatmt_ktot21          preatmt_ktot22          preatmt_ktot23          preatmt_ktot31          preatmt_ktot32          preatmt_ktot33          preatmt_vtot11          preatmt_vtot12          preatmt_vtot13          preatmt_vtot21          preatmt_vtot22          preatmt_vtot23          preatmt_vtot31          preatmt_vtot32          preatmt_vtot33          premol_trPdiv3              premol_trK              premol_trV          preatm_trPdiv3              preatm_trK              preatm_trV
         1          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.65597022E+10          0.47467949E-16          0.37855439E-14          0.00000000E+00          0.76774076E-17          0.37778665E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.37855439E-14          0.35538362E-31          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.41868661E+10          0.21071432E+07          0.25781970E+07          0.21071432E+07          0.35533529E+10         -0.46765231E+07          0.25781970E+07         -0.46765231E+07          0.11938887E+11          0.89773791E-17         -0.12768742E-19         -0.34410395E-19         -0.12768742E-19          0.99852748E-17          0.11793729E-17         -0.34410395E-19          0.11793729E-17          0.28505295E-16          0.80652241E-15          0.42318904E-18          0.53658053E-18          0.42318904E-18          0.68212153E-15         -0.20902460E-17          0.53658053E-18         -0.20902460E-17          0.22968999E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.65597022E+10          0.47467949E-16          0.37855439E-14
       101          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.40792516E+10          0.14428467E-15          0.22393326E-14          0.00000000E+00          0.17672064E-16          0.22216605E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.22393326E-14          0.89328660E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.27830845E+10          0.10725819E+08          0.16849569E+08          0.10725819E+08          0.21196586E+10         -0.27636179E+08          0.16849569E+08         -0.27636179E+08          0.73350115E+10          0.11673458E-16          0.30039183E-18          0.30466758E-18          0.30039183E-18          0.13628059E-16          0.29433828E-17          0.30466758E-18          0.29433828E-17          0.11898315E-15          0.53040379E-15          0.17887371E-17          0.29772191E-17          0.17887371E-17          0.39922994E-15         -0.83262390E-17          0.29772191E-17         -0.83262390E-17          0.13096989E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.40792516E+10          0.14428467E-15          0.22393326E-14
       201          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.15440902E+10          0.19873385E-15          0.70351994E-15          0.00000000E+00          0.25636814E-16          0.67788312E-15          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.70351994E-15          0.97898858E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.14912933E+10          0.61044298E+07          0.87740007E+06          0.61044298E+07          0.80097739E+09         -0.58076146E+08          0.87740007E+06         -0.58076146E+08          0.23400000E+10          0.10508160E-16          0.64105243E-19          0.51492076E-18          0.64105243E-19          0.13498224E-16          0.20304786E-17          0.51492076E-18          0.20304786E-17          0.17472746E-15          0.27995953E-15          0.11248894E-17         -0.34402455E-18          0.11248894E-17          0.14251271E-15         -0.13342301E-16         -0.34402455E-18         -0.13342301E-16          0.28104769E-15          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.15440902E+10          0.19873385E-15          0.70351994E-15
       301          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.68982801E+09          0.18245057E-15         -0.58553577E-15          0.00000000E+00          0.21239017E-16         -0.60677479E-15          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.58553577E-15         -0.95464472E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.62393608E+09         -0.60933577E+07          0.40022456E+07         -0.60933577E+07         -0.12874561E+09         -0.75834469E+08          0.40022456E+07         -0.75834469E+08         -0.25646745E+10          0.11678147E-16         -0.18350199E-18          0.38437138E-18         -0.18350199E-18          0.15051410E-16          0.61268995E-18          0.38437138E-18          0.61268995E-18          0.15572101E-15          0.10984944E-15         -0.10033361E-17          0.39516882E-18         -0.10033361E-17         -0.40127926E-16         -0.15383402E-16          0.39516882E-18         -0.15383402E-16         -0.65525729E-15          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.68982801E+09          0.18245057E-15         -0.58553577E-15
       401          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.21678468E+10          0.11896320E-15         -0.13856948E-14          0.00000000E+00          0.58082808E-16         -0.14437776E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.13856948E-14         -0.40114476E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.21310376E+09         -0.14114353E+08         -0.14900221E+08         -0.14114353E+08         -0.58411431E+09         -0.66505094E+08         -0.14900221E+08         -0.66505094E+08         -0.61325297E+10          0.11959391E-16         -0.90126433E-18         -0.73511467E-18         -0.90126433E-18          0.14037511E-16          0.74808242E-18         -0.73511467E-18          0.74808242E-18          0.92966300E-16          0.29548044E-16         -0.18478688E-17         -0.21670863E-17         -0.18478688E-17         -0.12780879E-15         -0.13701659E-16         -0.21670863E-17         -0.13701659E-16         -0.12874341E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.21678468E+10          0.11896320E-15         -0.13856948E-14
       501          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.28382280E+10          0.68283222E-16         -0.17267368E-14          0.00000000E+00          0.10220584E-15         -0.18289426E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.17267368E-14         -0.10814494E-31          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.98490314E+08         -0.54995013E+07         -0.12929988E+08         -0.54995013E+07         -0.70904968E+09         -0.53762858E+08         -0.12929988E+08         -0.53762858E+08         -0.79041246E+10          0.12624373E-16         -0.46715427E-18          0.18695428E-18         -0.46715427E-18          0.14349039E-16          0.12346447E-18          0.18695428E-18          0.12346447E-18          0.41309809E-16          0.65591468E-17         -0.60401496E-18         -0.27054017E-17         -0.60401496E-18         -0.15245469E-15         -0.10595163E-16         -0.27054017E-17         -0.10595163E-16         -0.15808412E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.28382280E+10          0.68283222E-16         -0.17267368E-14
       601          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.31371717E+10          0.47630877E-16         -0.18807654E-14          0.00000000E+00          0.11035356E-15         -0.19911189E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.18807654E-14         -0.13390477E-31          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.51411171E+08          0.52129846E+07         -0.26642190E+08          0.52129846E+07         -0.77174478E+09         -0.45545123E+08         -0.26642190E+08         -0.45545123E+08         -0.86911815E+10          0.13921891E-16          0.24053483E-19         -0.79641737E-18          0.24053483E-19          0.12929484E-16          0.69260490E-18         -0.79641737E-18          0.69260490E-18          0.20779502E-16         -0.39082435E-17          0.99130926E-18         -0.43928339E-17          0.99130926E-18         -0.16324662E-15         -0.95636884E-17         -0.43928339E-17         -0.95636884E-17         -0.17136105E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.31371717E+10          0.47630877E-16         -0.18807654E-14
       701          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.31875051E+10          0.56495020E-16         -0.19190407E-14          0.00000000E+00          0.85541113E-16         -0.20045818E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.19190407E-14         -0.52890334E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.35539096E+08          0.92803759E+07         -0.13066691E+08          0.92803759E+07         -0.87363603E+09         -0.53642804E+08         -0.13066691E+08         -0.53642804E+08         -0.86533401E+10          0.13310961E-16          0.13176837E-18         -0.50026289E-18          0.13176837E-18          0.13588397E-16         -0.23721139E-18         -0.50026289E-18         -0.23721139E-18          0.29595661E-16         -0.20233113E-16          0.16758234E-17         -0.20448110E-17          0.16758234E-17         -0.18375147E-15         -0.10211104E-16         -0.20448110E-17         -0.10211104E-16         -0.17150561E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.31875051E+10          0.56495020E-16         -0.19190407E-14
       801          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.28036537E+10          0.83441845E-16         -0.17216927E-14          0.00000000E+00          0.40966430E-16         -0.17626592E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.17216927E-14         -0.73031576E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.37249611E+08          0.89299912E+07         -0.51048046E+08          0.89299912E+07         -0.87848463E+09         -0.36438332E+08         -0.51048046E+08         -0.36438332E+08         -0.74952269E+10          0.12483414E-16          0.23829215E-18         -0.12992946E-18          0.23829215E-18          0.13592134E-16          0.34243034E-18         -0.12992946E-18          0.34243034E-18          0.57366296E-16         -0.19738733E-16          0.15010532E-17         -0.98129896E-17          0.15010532E-17         -0.18469960E-15         -0.74397320E-17         -0.98129896E-17         -0.74397320E-17         -0.15172544E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.28036537E+10          0.83441845E-16         -0.17216927E-14
       901          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.18568701E+10          0.11785106E-15         -0.12028706E-14          0.00000000E+00          0.11940667E-16         -0.12148113E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.12028706E-14         -0.15551159E-32          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.00000000E+00          0.12158067E+09          0.86205606E+07         -0.40297260E+08          0.86205606E+07         -0.65022722E+09         -0.69455382E+07         -0.40297260E+08         -0.69455382E+07         -0.50419638E+10          0.12117177E-16          0.18368604E-18         -0.33140820E-18          0.18368604E-18          0.13698603E-16          0.59407682E-18         -0.33140820E-18          0.59407682E-18          0.92035278E-16          0.11563784E-16          0.14953897E-17         -0.75175189E-17          0.14953897E-17         -0.14034707E-15         -0.19468989E-17         -0.75175189E-17         -0.19468989E-17         -0.10740873E-14          0.00000000E+00          0.00000000E+00          0.00000000E+00         -0.18568701E+10          0.11785106E-15         -0.12028706E-14
