<ATOM>
   1 CT  12.010  0.0000E+00                    ; AMBER95 C sp3
   2 HC   1.008  0.0000E+00                    ; AMBER95 H
   3 OF  16.000 -0.8200E+00
   4 HF   1.008  0.4100E+00
   5 OW  16.000 -0.8340E+00
   6 HW   1.008  0.4170E+00
   7 CH  12.010  0.2650E+00                    ; AMBER95 C bonded to OH
   8 H1   1.008  0.0000E+00                    ; AMBER95 H bonded to CH
   9 HO   1.008  0.4350E+00                    ; AMBER95 H alcohol
  10 OH  16.000 -0.7000E+00                    ; AMBER95 O alcohol
  11 AR  39.950  0.0000E+00                    ; Ruckenstein, 1997
  12 OE  16.000 -0.8200E+00
  13 HE   1.008  0.4100E+00
  14 OB  16.000 -0.8476E+00                    ; SPC/E O
  15 HB   1.008  0.4238E+00                    ; SPC/E H
  16 PT 195.080  0.0000E+00
  17 NA  22.990  0.1000E+01                    ; Koneshan, 1995 Na+
  18 KI  39.098  0.1000E+01
  19 CL  35.453 -0.1000E+01                    ; Koneshan, 1995 Cl-
  20 RP   0.000  0.0000E+00
  21 NP  90.000  0.0000E+00
  22 O1  31.999  0.0000E+00
  23 O2  31.999  0.0000E+00
  24 O3  15.999  0.0000E+00
  25 O4  15.999  0.0000E+00
  26 N1  28.013  0.0000E+00
  27 N2  28.013  0.0000E+00
  28 N3  14.007  0.0000E+00
  29 CM  15.034  0.0000E+00                    ; Rai, 2004 thiol-Au CH3
  30 CA  14.026  0.0000E+00                    ; Rai, 2004 thiol-Au CH2
  31 SA  32.065  0.0000E+00                    ; Rai, 2004 thiol-Au S
  32 GA 196.967  0.0000E+00                    ; Rai, 2004 thiol-Au Au
  33 AU 196.967  0.0000E+00                    ; Lincoln, 1967 Au Morse
  34 CK  15.034  0.0000E+00                    ; Shavade, 2001 thiol-Au CH3
  35 CJ  14.026  0.0000E+00                    ; Shavade, 2001 thiol-Au CH2
  36 SJ  32.065  0.0000E+00                    ; Shavade, 2001 thiol-Au S
  37 HP   1.008  0.0600E+00                    ; OPLS-AA (1996) H
  38 CP  12.011 -0.1800E+00                    ; OPLS-AA (1996) C, CH3
  39 CO  12.011 -0.1200E+00                    ; OPLS-AA (1996) C, CH2
  40 CS  12.011  0.0600E+00                    ; OPLS-AA (1996) C, bonded to S
  41 SS  32.060 -0.1800E+00  (-0.3350E+00)     ; OPLS-AA (1996) S, thiol
  42 HS   1.008  0.1550E+00                    ; OPLS-AA (1996) H, thiol
  43 T1  12.011  0.2500E+00                    ; Fioroni 2004 Car, toluene
  44 T2  12.011 -0.2230E+00                    ; Fioroni 2004 Caro, toluene
  45 T3  12.011 -0.0450E+00                    ; Fioroni 2004 Carm, toluene
  46 T4  12.011 -0.1280E+00                    ; Fioroni 2004 Carp, toluene
  47 T5  12.011 -0.0340E+00                    ; Fioroni 2004 Carm, toluene
  48 T6  12.011 -0.2230E+00                    ; Fioroni 2004 Caro, toluene
  49 TA   1.008  0.1130E+00                    ; Fioroni 2004 Haro, toluene
  50 TB   1.008  0.0750E+00                    ; Fioroni 2004 Harm, toluene
  51 TC   1.008  0.1080E+00                    ; Fioroni 2004 Harp, toluene
  52 TD   1.008  0.0850E+00                    ; Fioroni 2004 Harm, toluene
  53 TE   1.008  0.0750E+00                    ; Fioroni 2004 Haro, toluene
  54 TL  12.011 -0.2780E+00                    ; Fioroni 2004 Cal, toluene
  55 TH   1.008  0.0790E+00                    ; Fioroni 2004 Hal, toluene
  56 TI   1.008  0.0730E+00                    ; Fioroni 2004 Hal, toluene
  57 TJ   1.008  0.0730E+00                    ; Fioroni 2004 Hal, toluene
  58 MU  18.016  0.0000E+00                    ; L-J pseudo-SPC/E eps -20%
  59 MW  18.016  0.0000E+00                    ; L-J pseudo-SPC/E
  60 MX  18.016  0.0000E+00                    ; L-J pseudo-SPC/E eps +20%
  61 MY  18.016  0.0000E+00                    ; L-J pseudo-SPC/E eps +40%
  62 CU  14.026  0.0000E+00                    ; Nath, 1998 alkane CH2, NERD
  63 CV  15.034  0.0000E+00                    ; Nath, 1998 alkane CH3, NERD
  64 AM 196.967  0.0000E+00                    ; Milstein, 1973 Au Morse
  65 FO  56.000  2.5000E+00                    ; Magnetite, Fe2.5+
  66 FT  56.000  3.0000E+00                    ; Magnetite, Fe3+
  67 F2  56.000  2.0000E+00                    ; Fe2+
  68 OM  16.000 -2.0000E+00                    ; Magnetite, O2-
  69 HM   1.008  1.0000E+00                    ; Proton, H+ (RFH)
  70 AV 196.967  0.0000E+00                    ; Lincoln, 1967 Au Morse (x10vdW)
