<BOND>
   1   1   2 CO-CO
   2   1   4 CO-CO
   3   1   7 CO-HP
   4   1   8 CO-HP
   5   2   3 CO-CO
   6   2   9 CO-HP
   7   2  10 CO-HP
   8   3   5 CP-CO
   9   3  11 CO-HP
  10   3  12 CO-HP
  11   4   6 CP-CO
  12   4  13 CO-HP
  13   4  14 CO-HP
  14   5  15 CP-HP
  15   5  16 CP-HP
  16   5  17 CP-HP
  17   6  18 CP-HP
  18   6  19 CP-HP
  19   6  20 CP-HP

<ANGLE>
   1   1   2   3 CO-CO-CO
   2   1   2   9 CO-CO-HP
   3   1   2  10 CO-CO-HP
   4   1   4   6 CP-CO-CO
   5   1   4  13 CO-CO-HP
   6   1   4  14 CO-CO-HP
   7   2   1   4 CO-CO-CO
   8   2   1   7 CO-CO-HP
   9   2   1   8 CO-CO-HP
  10   2   3   5 CP-CO-CO
  11   2   3  11 CO-CO-HP
  12   2   3  12 CO-CO-HP
  13   3   2   9 CO-CO-HP
  14   3   2  10 CO-CO-HP
  15   3   5  15 CO-CP-HP
  16   3   5  16 CO-CP-HP
  17   3   5  17 CO-CP-HP
  18   4   1   7 CO-CO-HP
  19   4   1   8 CO-CO-HP
  20   4   6  18 CO-CP-HP
  21   4   6  19 CO-CP-HP
  22   4   6  20 CO-CP-HP
  23   5   3  11 CP-CO-HP
  24   5   3  12 CP-CO-HP
  25   6   4  13 CP-CO-HP
  26   6   4  14 CP-CO-HP
  27   7   1   8 HP-CO-HP
  28   9   2  10 HP-CO-HP
  29  11   3  12 HP-CO-HP
  30  13   4  14 HP-CO-HP
  31  15   5  16 HP-CP-HP
  32  15   5  17 HP-CP-HP
  33  16   5  17 HP-CP-HP
  34  18   6  19 HP-CP-HP
  35  18   6  20 HP-CP-HP
  36  19   6  20 HP-CP-HP

<TORSION_RB>
   1   1   2   3   5 CP-CO-CO-CO
   2   1   2   3  11 HP-CO-CO-CO
   3   1   2   3  12 HP-CO-CO-CO
   4   1   4   6  18 HP-CP-CO-CO
   5   1   4   6  19 HP-CP-CO-CO
   6   1   4   6  20 HP-CP-CO-CO
   7   2   1   4   6 CP-CO-CO-CO
   8   2   1   4  13 HP-CO-CO-CO
   9   2   1   4  14 HP-CO-CO-CO
  10   2   3   5  15 HP-CP-CO-CO
  11   2   3   5  16 HP-CP-CO-CO
  12   2   3   5  17 HP-CP-CO-CO
  13   3   2   1   4 CO-CO-CO-CO
  14   3   2   1   7 HP-CO-CO-CO
  15   3   2   1   8 HP-CO-CO-CO
  16   4   1   2   9 HP-CO-CO-CO
  17   4   1   2  10 HP-CO-CO-CO
  18   5   3   2   9 HP-CO-CO-CP
  19   5   3   2  10 HP-CO-CO-CP
  20   6   4   1   7 HP-CO-CO-CP
  21   6   4   1   8 HP-CO-CO-CP
  22   7   1   2   9 HP-CO-CO-HP
  23   7   1   2  10 HP-CO-CO-HP
  24   7   1   4  13 HP-CO-CO-HP
  25   7   1   4  14 HP-CO-CO-HP
  26   8   1   2   9 HP-CO-CO-HP
  27   8   1   2  10 HP-CO-CO-HP
  28   8   1   4  13 HP-CO-CO-HP
  29   8   1   4  14 HP-CO-CO-HP
  30   9   2   3  11 HP-CO-CO-HP
  31   9   2   3  12 HP-CO-CO-HP
  32  10   2   3  11 HP-CO-CO-HP
  33  10   2   3  12 HP-CO-CO-HP
  34  11   3   5  15 HP-CP-CO-HP
  35  11   3   5  16 HP-CP-CO-HP
  36  11   3   5  17 HP-CP-CO-HP
  37  12   3   5  15 HP-CP-CO-HP
  38  12   3   5  16 HP-CP-CO-HP
  39  12   3   5  17 HP-CP-CO-HP
  40  13   4   6  18 HP-CP-CO-HP
  41  13   4   6  19 HP-CP-CO-HP
  42  13   4   6  20 HP-CP-CO-HP
  43  14   4   6  18 HP-CP-CO-HP
  44  14   4   6  19 HP-CP-CO-HP
  45  14   4   6  20 HP-CP-CO-HP

<END>
